error,model
0.1111,error_HSGS
0.1481,error_HSGS
0.1111,error_HSGS
0.0741,error_HSGS
0.1111,error_HSGS
0.1111,error_HSGS
0.1111,error_HSGS
0.1111,error_HSGS
0.0741,error_HSGS
0.0741,error_HSGS
0.1481,error_HSGS
0.1111,error_HSGS
0.1111,error_HSGS
0.1111,error_HSGS
0.0741,error_HSGS
0.1481,error_HSGS
0.1481,error_HSGS
0.1111,error_HSGS
0.1111,error_HSGS
0.1111,error_HSGS
0.1111,error_HSGS
0.1481,error_HSGS
0.1111,error_HSGS
0.1111,error_HSGS
0.1111,error_HSGS
0.1481,error_HSGS
0.0741,error_HSGS
0.1111,error_HSGS
0.1111,error_HSGS
0.1111,error_HSGS
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_encoding
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.2593,error_classic
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
0.0741,error_classic_bin
